n,k,m,n_trials,oracle_time_mean,oracle_time_std,integrated_time_mean,integrated_time_std,speedup_mean,speedup_std,speedup_min,speedup_max,speedup_of_means,max_objective_error,max_relative_gap,max_simplex_residual,max_exposure_violation,converged_rate
8,2,4,10,0.0862640900304541,0.021950138186760813,1.0197233199374751,1.5791279496031576,0.19995601637162022,0.12492260867240705,0.026056521834027544,0.4158868275958984,0.08459558425685845,3.6679515371673688e-06,3.6679515371673688e-06,2.220446049250313e-16,9.390882627080543e-08,1.0
12,2,6,10,0.12073939996771514,0.04478697521907617,0.6228434499586001,0.5025792444450984,0.29840547941112183,0.1646372562314204,0.046465210841041944,0.6006087386978176,0.19385192214149574,2.454507881388679e-07,2.0212974845913763e-07,2.220446049250313e-16,9.594159844361627e-08,1.0
20,2,8,10,0.12710563002619893,0.009913842863548974,0.645715759973973,0.329731482769542,0.2598705787020238,0.14815702857391677,0.11153707640956298,0.6368547296579297,0.19684455282820137,4.7343984621583957e-08,4.7343984621583957e-08,2.220446049250313e-16,9.152167661230504e-08,1.0
30,2,8,10,0.19610057002864778,0.03295653292768197,0.7378324600169435,0.40435986226962267,0.3579728094167294,0.19515354800268292,0.11887657016450988,0.6907522849859865,0.26577926650739186,8.426464573330072e-07,8.426464573330072e-07,2.220446049250313e-16,8.787418814826253e-08,1.0
45,2,8,10,0.27815109002403915,0.0393174450370728,0.634155230014585,0.28175554888583526,0.4979537142808095,0.16562439158521886,0.18473854283546623,0.8063623753929418,0.4386167248319342,7.399801928986705e-07,6.325694271008553e-07,3.3306690738754696e-16,0.0,1.0
65,3,8,10,0.3869208499789238,0.19784006457090755,0.8331059800228104,0.4588441936438615,0.5084102561904273,0.13077506637171357,0.2517420401207079,0.6751110746367914,0.4644317280837786,8.516157334881314e-09,7.933312119567764e-09,2.220446049250313e-16,8.841586240926347e-08,1.0
100,5,8,10,0.692382590007037,0.1337078149725943,1.2292735200142488,0.19675116481007335,0.5711114191718518,0.10299688444920065,0.3481171740178544,0.7173448035128028,0.5632453467304912,3.3659948162068076e-09,3.3659948162068076e-09,6.661338147750939e-16,0.0,1.0
150,8,8,10,0.7339302600128577,0.16956280329550433,0.94610680998303,0.20578366546480145,0.79159168945599,0.17860507603088518,0.6139940688558698,1.235681056549249,0.7757372130383693,1.8699660708776378e-09,1.8699660708776378e-09,2.220446049250313e-16,0.0,1.0
225,11,8,10,1.0229347699787468,0.07447065596910227,1.1092100700596348,0.26288235818897365,0.9666084993418421,0.20711902550303868,0.5894802465394414,1.2453799039184708,0.9222191518002991,3.1793088162146432e-09,3.1793088162146432e-09,3.1086244689504383e-15,0.0,1.0
350,18,8,10,1.6876419100211932,0.10160926562331735,1.5104530500248075,0.2930501732299612,1.1616998903328768,0.2381953520939474,0.7911018742054781,1.6252248302892986,1.1173084194794904,2.608371324486214e-09,2.608371324486214e-09,4.440892098500626e-15,0.0,1.0
500,25,8,10,2.6521967100445183,0.12193834801753137,2.068122570030391,0.340002806697696,1.3160749152552147,0.21720840405240832,1.064514543945593,1.7415735970234694,1.2824175648378249,2.33565949914194e-09,2.33565949914194e-09,8.881784197001252e-16,0.0,1.0
700,35,8,10,4.238991259946488,0.2575754368755331,3.432027609972283,0.4820773157371207,1.255866143545953,0.1637910771611853,0.9928595574647909,1.5412207703992502,1.2351273770727975,2.266907578318822e-09,2.266907578318822e-09,1.7763568394002505e-15,0.0,1.0
1000,50,8,10,7.235249139973893,0.3432943102789438,5.150392199959606,1.17658654789165,1.4887165859773543,0.3965415186065467,0.9642237928930882,2.434728860281357,1.4047957629383327,2.6281429255092803e-09,2.6281429255092803e-09,9.325873406851315e-15,0.0,1.0
1500,75,8,10,15.425327959959395,0.740512262507114,7.634631370007992,1.368625912343037,2.105310528808272,0.4842781286536238,1.5006904286038323,3.1025395234567323,2.0204417492318623,3.9655851935549435e-09,3.9655851935549435e-09,1.0658141036401503e-14,0.0,1.0
2200,110,8,10,34.96094336998649,2.6635242619919888,13.19402948000934,2.3585066105905947,2.8088524907955623,0.9438629496936645,2.036250645185567,5.465399222791991,2.6497548321350077,1.5799723751541705e-09,1.5799723751541705e-09,1.9984014443252818e-14,0.0,1.0
3200,160,8,10,63.46210606005043,3.4028559672339354,18.741502439952455,3.809940506083821,3.5881809741722193,1.0184800758420456,2.720000648815682,5.861065415161783,3.386180284285224,3.5203540083017515e-09,3.5203540083017515e-09,1.1324274851176597e-14,0.0,1.0
4200,210,8,10,167.77316518004517,40.24894546660797,36.6436519299401,7.8086847895039915,4.787380252103764,1.4583354960397397,2.0864961471723418,8.078085045812141,4.5785055894760385,3.807716308923403e-09,3.807716308923403e-09,1.0880185641326534e-14,0.0,1.0
5000,250,8,10,240.65721169996542,64.92003383234886,52.40062425006181,21.498383932372708,4.975170636625576,1.6658788130031048,2.754059146726414,9.505527871452156,4.592640166871324,6.791624762580994e-10,6.791624762580994e-10,1.1324274851176597e-14,0.0,1.0
